job_id,job_title,salary_usd,experience_level,company_location,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,company_name,
AI00078,ML Ops Engineer,59728,MI,Israel,Israel,50,"MLOps, SQL, Statistics",Associate,2,Finance,DataVision Ltd,
AI00079,Computer Vision Engineer,119432,SE,India,India,0,"Scala, MLOps, NLP",PhD,6,Technology,Autonomous Tech,
AI00080,AI Research Scientist,284486,EX,United States,United States,0,"PyTorch, Linux, SQL",Master,12,Consulting,TechCorp Inc,
AI00081,Data Analyst,157597,EX,France,France,50,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,Neural Networks Co,
AI00082,ML Ops Engineer,196942,EX,Australia,Australia,100,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,TechCorp Inc,
AI00083,Machine Learning Researcher,207548,EX,Canada,Canada,0,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,Cognitive Computing,
AI00084,NLP Engineer,68838,MI,Sweden,Sweden,50,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,TechCorp Inc,
AI00085,ML Ops Engineer,125666,EX,Finland,Finland,100,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,TechCorp Inc,
AI00086,NLP Engineer,73174,EN,Denmark,Denmark,50,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,Machine Intelligence Group,
AI00087,Autonomous Systems Engineer,33314,EN,Israel,India,50,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,Future Systems,
AI00088,AI Specialist,69914,EN,United States,United States,100,"R, NLP, SQL, GCP",Associate,0,Transportation,Smart Analytics,
AI00089,Principal Data Scientist,152118,EX,France,France,50,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,AI Innovations,
AI00090,AI Software Engineer,78014,EN,France,France,50,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,Digital Transformation LLC,
AI00091,Research Scientist,48466,EN,Canada,Canada,100,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,Predictive Systems,
AI00092,Data Analyst,97997,SE,France,France,50,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,Algorithmic Solutions,
AI00093,Principal Data Scientist,128341,SE,Singapore,Singapore,0,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,Neural Networks Co,
AI00094,AI Research Scientist,111528,MI,United States,United States,0,"Java, Hadoop, Mathematics",PhD,3,Real Estate,Predictive Systems,
AI00095,Machine Learning Researcher,138945,EX,Canada,Canada,50,"Linux, R, NLP, PyTorch, Git",Master,19,Education,DeepTech Ventures,
AI00096,NLP Engineer,98688,SE,Israel,Israel,50,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,Cognitive Computing,
AI00097,Data Analyst,109029,SE,France,France,0,"Kubernetes, Scala, Java",Bachelor,6,Technology,Predictive Systems,
AI00098,NLP Engineer,84797,MI,Canada,Canada,0,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,Machine Intelligence Group,
AI00099,Machine Learning Researcher,290199,EX,Switzerland,Denmark,50,"Python, AWS, Kubernetes, Deep Learning",Master,12,Retail,Smart Analytics,
AI00100,AI Research Scientist,195691,SE,United States,United States,0,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,Advanced Robotics,
AI00101,AI Product Manager,193448,SE,Norway,Norway,100,"Scala, Git, Java",Associate,9,Consulting,Cognitive Computing,
AI00102,AI Product Manager,138466,EX,Israel,Israel,100,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,Smart Analytics,
AI00103,Data Analyst,91577,MI,Netherlands,Netherlands,100,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,Algorithmic Solutions,
AI00104,Computer Vision Engineer,92875,MI,Sweden,Sweden,0,"SQL, Python, Deep Learning",PhD,3,Real Estate,Digital Transformation LLC,
AI00105,Data Engineer,213287,EX,United Kingdom,United Kingdom,100,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,Cloud AI Solutions,
AI00106,NLP Engineer,62171,MI,Japan,Japan,0,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,AI Innovations,
AI00107,AI Research Scientist,152658,EX,South Korea,United Kingdom,50,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,TechCorp Inc,
AI00108,ML Ops Engineer,95085,MI,Norway,Norway,100,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,Predictive Systems,
AI00109,Deep Learning Engineer,86750,MI,France,France,100,"Java, R, Git, Mathematics, Spark",PhD,2,Government,AI Innovations,
AI00110,AI Specialist,64261,MI,Israel,Israel,0,"PyTorch, Docker, GCP",Master,2,Transportation,TechCorp Inc,
AI00111,Machine Learning Researcher,205357,EX,United States,United States,100,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,Predictive Systems,
AI00112,AI Architect,165676,EX,France,France,50,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,Neural Networks Co,
AI00113,Computer Vision Engineer,114658,SE,France,France,100,"SQL, Scala, Python",Bachelor,9,Telecommunications,Algorithmic Solutions,
AI00114,Data Scientist,143149,SE,France,France,50,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,Digital Transformation LLC,
AI00115,Machine Learning Researcher,116276,SE,Germany,Germany,50,"Azure, R, Linux, MLOps",Bachelor,7,Technology,Future Systems,
AI00116,NLP Engineer,61055,EN,United States,Ireland,100,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,Autonomous Tech,
AI00117,ML Ops Engineer,50303,EN,Austria,Austria,100,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,DataVision Ltd,
AI00118,Data Analyst,65570,SE,Ireland,Ireland,50,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,Smart Analytics,
AI00119,AI Software Engineer,231078,EX,Singapore,Singapore,50,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,Neural Networks Co,
AI00120,AI Product Manager,106633,SE,Australia,South Korea,100,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,Algorithmic Solutions,
AI00121,AI Specialist,121180,SE,Austria,Austria,0,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,Quantum Computing Inc,
AI00122,Principal Data Scientist,64531,EN,China,Netherlands,50,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,Smart Analytics,
AI00123,Machine Learning Engineer,125654,MI,Singapore,Singapore,50,"Python, Tableau, Java",PhD,4,Automotive,DataVision Ltd,
AI00124,Machine Learning Researcher,182275,EX,Austria,Austria,0,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,DeepTech Ventures,
AI00125,Machine Learning Researcher,117708,MI,Denmark,Denmark,0,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,Neural Networks Co,
AI00126,Data Engineer,143246,EX,South Korea,South Korea,0,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,Future Systems,
AI00127,AI Product Manager,203198,SE,Denmark,Denmark,50,"Statistics, R, Python, TensorFlow",Master,5,Consulting,DeepTech Ventures,
AI00128,Research Scientist,69487,EN,Switzerland,Switzerland,0,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,Machine Intelligence Group,
AI00129,AI Product Manager,95673,EX,Ireland,Ireland,0,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,Neural Networks Co,
AI00130,AI Software Engineer,59405,EN,Austria,Austria,100,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,Smart Analytics,
AI00131,AI Specialist,131756,SE,Netherlands,Finland,0,"AWS, R, Spark",PhD,5,Technology,AI Innovations,
AI00132,AI Software Engineer,42835,EN,South Korea,France,0,"Python, TensorFlow, PyTorch",Bachelor,0,Media,Machine Intelligence Group,
AI00133,Autonomous Systems Engineer,61893,EN,Canada,Canada,50,"Statistics, Python, SQL",Associate,1,Consulting,Predictive Systems,
AI00134,ML Ops Engineer,141791,EX,France,France,0,"Hadoop, Azure, Python, R",PhD,13,Media,Algorithmic Solutions,
AI00135,AI Product Manager,258637,EX,United Kingdom,United Kingdom,50,"Computer Vision, GCP, Azure, SQL, Python",Master,11,Education,Cognitive Computing,
AI00136,NLP Engineer,49485,MI,Finland,Finland,0,"Hadoop, Java, Data Visualization",Associate,2,Technology,Cloud AI Solutions,
AI00137,Robotics Engineer,172916,SE,Norway,India,100,"Computer Vision, SQL, PyTorch, Java",Bachelor,8,Manufacturing,Smart Analytics,
AI00138,Machine Learning Engineer,324557,EX,Denmark,Denmark,100,"Hadoop, Python, Git, TensorFlow",PhD,11,Telecommunications,Machine Intelligence Group,
AI00139,AI Consultant,73894,MI,France,France,50,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",Bachelor,4,Consulting,Digital Transformation LLC,
AI00140,Principal Data Scientist,122598,SE,Sweden,India,50,"Linux, AWS, Computer Vision, Deep Learning",Associate,9,Media,Digital Transformation LLC,
AI00141,Data Scientist,94478,MI,Denmark,Denmark,100,"PyTorch, TensorFlow, Hadoop, Python",PhD,4,Retail,Algorithmic Solutions,
AI00142,Autonomous Systems Engineer,53088,EN,Austria,Austria,50,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",PhD,1,Finance,Machine Intelligence Group,
AI00143,Machine Learning Researcher,116012,MI,Denmark,Australia,0,"SQL, MLOps, Python",Master,3,Automotive,Predictive Systems,
AI00144,Deep Learning Engineer,35593,EN,China,China,0,"Python, Hadoop, Deep Learning",Bachelor,0,Media,AI Innovations,
AI00145,AI Product Manager,149053,EX,Austria,Austria,0,"GCP, Linux, R, Hadoop",Master,17,Media,Smart Analytics,
AI00146,Principal Data Scientist,88230,MI,Austria,Austria,0,"TensorFlow, Git, Azure, Python",Associate,4,Education,DeepTech Ventures,
AI00147,AI Research Scientist,224919,EX,Australia,Switzerland,100,"Kubernetes, Deep Learning, PyTorch",Associate,19,Education,TechCorp Inc,
AI00148,Machine Learning Researcher,220439,EX,Netherlands,Netherlands,100,"SQL, Data Visualization, GCP, Deep Learning, MLOps",Associate,12,Manufacturing,TechCorp Inc,
AI00149,NLP Engineer,48861,EN,Finland,Finland,100,"GCP, Python, Computer Vision, Git",Bachelor,0,Healthcare,DeepTech Ventures,
AI00150,AI Specialist,115841,SE,United States,United States,0,"TensorFlow, Kubernetes, Deep Learning",PhD,7,Healthcare,Quantum Computing Inc,
AI00151,NLP Engineer,57266,MI,Ireland,Ireland,0,"Computer Vision, PyTorch, Linux, TensorFlow",Bachelor,3,Media,Neural Networks Co,
AI00152,Deep Learning Engineer,66384,MI,Australia,Israel,0,"Git, Tableau, Hadoop, Computer Vision",Associate,2,Government,Autonomous Tech,
AI00153,Data Analyst,184637,EX,Sweden,Sweden,100,"R, SQL, Data Visualization",Bachelor,11,Government,Machine Intelligence Group,
AI00154,AI Research Scientist,92445,MI,Netherlands,Finland,50,"Linux, Python, Scala, Docker",Bachelor,4,Technology,DataVision Ltd,
AI00155,Machine Learning Researcher,57388,EN,Canada,Canada,0,"Python, GCP, TensorFlow",Associate,1,Consulting,Smart Analytics,
AI00156,Head of AI,53374,MI,China,China,0,"Docker, Deep Learning, R",PhD,2,Government,Algorithmic Solutions,
AI00157,AI Research Scientist,95716,SE,Finland,Finland,50,"Git, Spark, Azure, Statistics",PhD,6,Media,Digital Transformation LLC,
AI00158,NLP Engineer,157091,MI,Norway,Norway,0,"Python, Java, Kubernetes, SQL, NLP",PhD,2,Transportation,DataVision Ltd,
AI00159,ML Ops Engineer,204144,SE,Norway,Norway,100,"Hadoop, Mathematics, Linux",PhD,8,Telecommunications,Autonomous Tech,
AI00160,AI Software Engineer,190314,EX,Netherlands,Netherlands,100,"GCP, Computer Vision, Scala, AWS, Linux",PhD,12,Government,Digital Transformation LLC,
AI00161,Principal Data Scientist,198403,EX,Denmark,Israel,50,"Data Visualization, SQL, Scala",Associate,15,Media,Digital Transformation LLC,
AI00162,Research Scientist,153040,SE,Canada,Canada,50,"SQL, Tableau, Statistics, GCP",Bachelor,7,Manufacturing,Autonomous Tech,
AI00163,AI Software Engineer,51898,MI,Israel,Israel,0,"Deep Learning, Python, NLP",Associate,2,Consulting,Machine Intelligence Group,
AI00164,AI Architect,115191,SE,Germany,Netherlands,0,"R, AWS, Git, Tableau",Associate,7,Education,Advanced Robotics,
AI00165,ML Ops Engineer,170139,SE,United States,Denmark,50,"Python, Spark, Hadoop",Bachelor,5,Technology,Future Systems,
AI00166,ML Ops Engineer,63860,EN,Canada,Canada,100,"Linux, TensorFlow, GCP, Docker, Azure",Master,0,Gaming,Autonomous Tech,
AI00167,NLP Engineer,125152,MI,Norway,Norway,100,"TensorFlow, Docker, AWS, Spark",PhD,3,Retail,Smart Analytics,
AI00168,AI Software Engineer,61572,EN,South Korea,South Korea,50,"Linux, Azure, Kubernetes",Bachelor,0,Healthcare,DataVision Ltd,
AI00169,Head of AI,101054,MI,Germany,Israel,50,"Statistics, Tableau, Java, Data Visualization, NLP",Master,3,Transportation,Autonomous Tech,
AI00170,Data Engineer,145355,EX,Canada,Canada,100,"Spark, Linux, AWS, Deep Learning",Master,13,Media,DeepTech Ventures,
AI00171,Deep Learning Engineer,183484,EX,Singapore,Singapore,100,"Scala, Data Visualization, TensorFlow, Mathematics, Java",Master,19,Gaming,Autonomous Tech,
AI00172,AI Product Manager,111997,MI,Singapore,Singapore,100,"PyTorch, Scala, Hadoop, Docker, Computer Vision",PhD,2,Technology,Neural Networks Co,
AI00173,AI Specialist,214195,EX,United Kingdom,Sweden,100,"Tableau, GCP, Python",Bachelor,19,Manufacturing,Smart Analytics,
AI00174,AI Software Engineer,93211,SE,India,United Kingdom,50,"Python, TensorFlow, GCP, Java",Master,9,Manufacturing,Machine Intelligence Group,
AI00175,Deep Learning Engineer,82209,EN,Germany,Germany,100,"Statistics, TensorFlow, Python",Master,1,Transportation,Smart Analytics,
AI00176,AI Software Engineer,149669,SE,Germany,Germany,50,"Scala, Hadoop, Azure",Associate,9,Retail,Predictive Systems,
AI00177,AI Software Engineer,56825,MI,China,China,50,"Linux, Azure, Git, Deep Learning, Spark",Associate,3,Government,AI Innovations,
AI00178,Research Scientist,131635,MI,Denmark,Denmark,50,"Kubernetes, Git, GCP, NLP",PhD,2,Manufacturing,TechCorp Inc,
AI00179,NLP Engineer,163843,SE,Norway,Norway,50,"Scala, Python, Data Visualization, Kubernetes, Statistics",PhD,7,Telecommunications,Algorithmic Solutions,
AI00180,AI Consultant,73281,MI,India,India,0,"Deep Learning, Azure, Python",Bachelor,2,Technology,Cloud AI Solutions,
AI00181,Principal Data Scientist,51907,MI,South Korea,South Korea,50,"Statistics, AWS, Java, PyTorch",Associate,3,Technology,DataVision Ltd,
AI00182,NLP Engineer,178240,EX,Netherlands,Netherlands,50,"Python, Spark, TensorFlow",Bachelor,12,Real Estate,Autonomous Tech,
AI00183,Machine Learning Researcher,83226,SE,Ireland,Israel,0,"SQL, Docker, Linux, GCP",Master,7,Technology,Advanced Robotics,
AI00184,AI Product Manager,46995,EN,Austria,Austria,100,"PyTorch, NLP, MLOps, Azure",Master,1,Finance,DataVision Ltd,
AI00185,AI Research Scientist,275296,EX,Switzerland,Switzerland,0,"Docker, Azure, NLP",Associate,14,Transportation,DataVision Ltd,
AI00186,Deep Learning Engineer,300422,EX,Denmark,India,100,"Python, TensorFlow, R",Bachelor,11,Education,Machine Intelligence Group,
AI00187,AI Product Manager,116704,MI,Canada,Canada,100,"SQL, PyTorch, NLP, Data Visualization",Bachelor,2,Finance,Autonomous Tech,
AI00188,AI Specialist,98422,EN,United States,United States,0,"Java, Python, Mathematics",PhD,0,Transportation,Cloud AI Solutions,
AI00189,Machine Learning Researcher,210249,EX,Norway,Singapore,100,"Mathematics, Docker, Deep Learning",Master,15,Gaming,Machine Intelligence Group,
AI00190,NLP Engineer,67708,MI,South Korea,France,0,"NLP, R, Scala, Computer Vision, Azure",Master,3,Manufacturing,Algorithmic Solutions,
AI00191,Data Engineer,95796,EX,Austria,Austria,100,"Python, TensorFlow, Scala, AWS",Master,13,Consulting,Advanced Robotics,
AI00192,Head of AI,229098,EX,Denmark,China,50,"PyTorch, SQL, Kubernetes, Git, Java",Master,17,Government,Predictive Systems,
AI00193,ML Ops Engineer,134300,EX,Ireland,Ireland,50,"Java, Python, Deep Learning, Statistics",Master,11,Education,Predictive Systems,
AI00194,AI Specialist,74408,EN,Australia,Norway,100,"TensorFlow, Docker, R, NLP, Java",Associate,1,Automotive,Machine Intelligence Group,
AI00195,AI Architect,201971,EX,Netherlands,Australia,0,"Java, Scala, Tableau",PhD,13,Technology,Future Systems,
AI00196,AI Software Engineer,180764,EX,France,France,100,"GCP, TensorFlow, Data Visualization",Master,17,Gaming,AI Innovations,
